"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"T2 Large","t2.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Low to Moderate","$0.0928 hourly","$0.0575 hourly","$0.0629 hourly","$0.1208 hourly","$0.0855 hourly"
"M7I-FLEX Large","m7i-flex.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0958 hourly","$0.0633 hourly","$0.0646 hourly","$0.1832 hourly","$0.1507 hourly"
"M6I Large","m6i.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0960 hourly","$0.0635 hourly","$0.0556 hourly","$0.1880 hourly","$0.1555 hourly"
"M5 General Purpose Large","m5.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0960 hourly","$0.0600 hourly","$0.0514 hourly","$0.1880 hourly","$0.1520 hourly"
"C5 High-CPU Large","c5d.large","4.0 GiB","2 vCPUs","50 GB                 NVMe SSD","Up to 10 Gigabit","$0.0960 hourly","$0.0600 hourly","$0.0398 hourly","$0.1880 hourly","$0.1520 hourly"
"M4 General Purpose Large","m4.large","8.0 GiB","2 vCPUs","EBS only","Moderate","$0.1000 hourly","$0.0620 hourly","$0.0574 hourly","$0.1920 hourly","$0.1540 hourly"
"C4 High-CPU Large","c4.large","3.75 GiB","2 vCPUs","EBS only","Moderate","$0.1000 hourly","$0.0630 hourly","$0.0586 hourly","$0.1920 hourly","$0.1550 hourly"
"M7I Large","m7i.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1008 hourly","$0.0667 hourly","$0.0649 hourly","$0.1928 hourly","$0.1587 hourly"
"C6ID Large","c6id.large","4.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1008 hourly","$0.0635 hourly","$0.0645 hourly","$0.1928 hourly","$0.1555 hourly"
"R6G Large","r6g.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1008 hourly","$0.0635 hourly","$0.0698 hourly","unavailable","unavailable"
"A1 Extra Large","a1.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1020 hourly","$0.0643 hourly","$0.1020 hourly","unavailable","unavailable"
"M5AD Large","m5ad.large","8.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1030 hourly","$0.0650 hourly","$0.0653 hourly","$0.1950 hourly","$0.1570 hourly"
"C3 High-CPU Large","c3.large","3.75 GiB","2 vCPUs","32 GB                 (2 * 16 GB SSD)","Moderate","$0.1050 hourly","$0.0730 hourly","$0.0647 hourly","$0.1880 hourly","$0.1650 hourly"
"M7GD Large","m7gd.large","8.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1068 hourly","$0.0673 hourly","$0.0642 hourly","unavailable","unavailable"
"R7G Large","r7g.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1071 hourly","$0.0708 hourly","$0.0698 hourly","unavailable","unavailable"
"C5N Large","c5n.large","5.25 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1080 hourly","$0.0680 hourly","$0.0650 hourly","$0.2000 hourly","$0.1600 hourly"
"M5 General Purpose Large","m5d.large","8.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1130 hourly","$0.0710 hourly","$0.0635 hourly","$0.2050 hourly","$0.1630 hourly"
"R5A Large","r5a.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1130 hourly","$0.0710 hourly","$0.0643 hourly","$0.2050 hourly","$0.1630 hourly"
"R6A Large","r6a.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1134 hourly","$0.0750 hourly","$0.0647 hourly","$0.2054 hourly","$0.1670 hourly"
"C6IN Large","c6in.large","4.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1134 hourly","$0.0714 hourly","$0.0648 hourly","$0.2054 hourly","$0.1634 hourly"
"R6GD Large","r6gd.large","16.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.1152 hourly","$0.0726 hourly","$0.0697 hourly","unavailable","unavailable"
"M7A Large","m7a.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1159 hourly","$0.0767 hourly","$0.0644 hourly","$0.2079 hourly","$0.1687 hourly"
"M6ID Large","m6id.large","8.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1187 hourly","$0.0747 hourly","$0.0645 hourly","$0.2107 hourly","$0.1668 hourly"
"M5N Large","m5n.large","8.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1190 hourly","$0.0750 hourly","$0.0651 hourly","$0.2110 hourly","$0.1670 hourly"
"C7GN Large","c7gn.large","4.0 GiB","2 vCPUs","EBS only","Up to 30 Gigabit","$0.1248 hourly","$0.0786 hourly","$0.0697 hourly","unavailable","unavailable"
"R6I Large","r6i.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1260 hourly","$0.0833 hourly","$0.0626 hourly","$0.2180 hourly","$0.1754 hourly"
"R5 Large","r5.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1260 hourly","$0.0790 hourly","$0.0384 hourly","$0.2180 hourly","$0.1710 hourly"
"C1 High-CPU Medium","c1.medium","1.7 GiB","2 vCPUs","350 GB                 HDD","Moderate","$0.1300 hourly","$0.0910 hourly","$0.0186 hourly","$0.2100 hourly","$0.1790 hourly"
"R5AD Large","r5ad.large","16.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1310 hourly","$0.0830 hourly","$0.0642 hourly","$0.2230 hourly","$0.1750 hourly"
"M3 General Purpose Large","m3.large","7.5 GiB","2 vCPUs","32 GB                 SSD","Moderate","$0.1330 hourly","$0.0950 hourly","$0.0643 hourly","$0.2590 hourly","$0.1990 hourly"
"R4 High-Memory Large","r4.large","15.25 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1330 hourly","$0.0840 hourly","$0.0596 hourly","$0.2250 hourly","$0.1760 hourly"
"T4G Extra Large","t4g.xlarge","16.0 GiB","4 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$0.1344 hourly","$0.0843 hourly","$0.1344 hourly","unavailable","unavailable"
"M5DN Large","m5dn.large","8.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 25 Gigabit","$0.1360 hourly","$0.0860 hourly","$0.0649 hourly","$0.2280 hourly","$0.1780 hourly"
"C6G Extra Large","c6g.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1360 hourly","$0.0857 hourly","$0.1341 hourly","unavailable","unavailable"
"R7GD Large","r7gd.large","16.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1361 hourly","$0.0855 hourly","$0.0646 hourly","unavailable","unavailable"
"M6IN Large","m6in.large","8.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1392 hourly","$0.0877 hourly","$0.0650 hourly","$0.2312 hourly","$0.1797 hourly"
"R5D Large","r5d.large","16.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1440 hourly","$0.0910 hourly","$0.0642 hourly","$0.2360 hourly","$0.1830 hourly"
"IS4GEN Medium","is4gen.medium","6.0 GiB","1 vCPUs","937 GB                 NVMe SSD","Up to 25 Gigabit","$0.1441 hourly","$0.0983 hourly","$0.0432 hourly","unavailable","unavailable"
"C7G Extra Large","c7g.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1450 hourly","$0.0955 hourly","$0.1395 hourly","unavailable","unavailable"
"R5B Large","r5b.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1490 hourly","$0.0939 hourly","$0.0647 hourly","$0.2410 hourly","$0.1859 hourly"
"R5N Large","r5n.large","16.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1490 hourly","$0.0940 hourly","$0.0649 hourly","$0.2410 hourly","$0.1860 hourly"
"T3A Extra Large","t3a.xlarge","16.0 GiB","4 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$0.1504 hourly","$0.0943 hourly","$0.1281 hourly","$0.2240 hourly","$0.1679 hourly"
"R6ID Large","r6id.large","16.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1512 hourly","$0.0950 hourly","$0.0650 hourly","$0.2432 hourly","$0.1870 hourly"
"C6A Extra Large","c6a.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1530 hourly","$0.1012 hourly","$0.1261 hourly","$0.3370 hourly","$0.2852 hourly"
"C6GD Extra Large","c6gd.xlarge","8.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 10 Gigabit","$0.1536 hourly","$0.0968 hourly","$0.1399 hourly","unavailable","unavailable"
"C5A Extra Large","c5a.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1540 hourly","$0.0970 hourly","$0.1215 hourly","$0.3380 hourly","$0.2810 hourly"
"M6G Extra Large","m6g.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1540 hourly","$0.0966 hourly","$0.0991 hourly","unavailable","unavailable"
"I4G Large","i4g.large","16.0 GiB","2 vCPUs","468 GB                 NVMe SSD","Up to 10 Gigabit","$0.1544 hourly","$0.1002 hourly","$0.0642 hourly","unavailable","unavailable"
"I3 High I/O Large","i3.large","15.25 GiB","2 vCPUs","475 GB                 NVMe SSD","Up to 10 Gigabit","$0.1560 hourly","$0.1070 hourly","$0.0606 hourly","$0.2480 hourly","$0.1990 hourly"
"M6IDN Large","m6idn.large","8.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 25 Gigabit","$0.1591 hourly","$0.1003 hourly","$0.0644 hourly","$0.2511 hourly","$0.1923 hourly"
"M7G Extra Large","m7g.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1632 hourly","$0.1080 hourly","$0.1404 hourly","unavailable","unavailable"
"M5ZN Large","m5zn.large","8.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1652 hourly","$0.1041 hourly","$0.0644 hourly","$0.2572 hourly","$0.1961 hourly"
"R3 High-Memory Large","r3.large","15.25 GiB","2 vCPUs","32 GB                 SSD","Moderate","$0.1660 hourly","$0.1050 hourly","$0.0610 hourly","$0.2910 hourly","$0.2380 hourly"
"T3 Extra Large","t3.xlarge","16.0 GiB","4 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$0.1664 hourly","$0.1043 hourly","$0.1148 hourly","$0.2400 hourly","$0.1779 hourly"
"R5DN Large","r5dn.large","16.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 25 Gigabit","$0.1670 hourly","$0.1050 hourly","$0.0644 hourly","$0.2590 hourly","$0.1970 hourly"
"X2GD Large","x2gd.large","32.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.1670 hourly","$0.1029 hourly","$0.0761 hourly","unavailable","unavailable"
"C5 High-CPU Extra Large","c5.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1700 hourly","$0.1070 hourly","$0.0784 hourly","$0.3540 hourly","$0.2910 hourly"
"C6I Extra Large","c6i.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1700 hourly","$0.1125 hourly","$0.1223 hourly","$0.3540 hourly","$0.2965 hourly"
"I4I Large","i4i.large","16.0 GiB","2 vCPUs","468 GB                 NVMe SSD","Up to 10 Gigabit","$0.1720 hourly","$0.1110 hourly","$0.0632 hourly","$0.2640 hourly","$0.2030 hourly"
"C5AD Extra Large","c5ad.xlarge","8.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.1720 hourly","$0.1080 hourly","$0.1291 hourly","$0.3560 hourly","$0.2920 hourly"
"M5A Extra Large","m5a.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1720 hourly","$0.1080 hourly","$0.1288 hourly","$0.3560 hourly","$0.2920 hourly"
"M6A Extra Large","m6a.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1728 hourly","$0.1143 hourly","$0.1271 hourly","$0.3568 hourly","$0.2983 hourly"
"C6GN Extra Large","c6gn.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","$0.1728 hourly","$0.1091 hourly","$0.1404 hourly","unavailable","unavailable"
"R6IN Large","r6in.large","16.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1743 hourly","$0.1098 hourly","$0.0647 hourly","$0.2663 hourly","$0.2018 hourly"
"M1 General Purpose Large","m1.large","7.5 GiB","2 vCPUs","840 GB                 (2 * 420 GB HDD)","Moderate","$0.1750 hourly","$0.1120 hourly","$0.0322 hourly","$0.2990 hourly","$0.2320 hourly"
"M6GD Extra Large","m6gd.xlarge","16.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 10 Gigabit","$0.1808 hourly","$0.1139 hourly","$0.1366 hourly","unavailable","unavailable"
"C7GD Extra Large","c7gd.xlarge","8.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1814 hourly","$0.1143 hourly","$0.1288 hourly","unavailable","unavailable"
"IM4GN Large","im4gn.large","8.0 GiB","2 vCPUs","937 GB                 NVMe SSD","Up to 25 Gigabit","$0.1819 hourly","$0.1167 hourly","$0.0745 hourly","unavailable","unavailable"
"T2 Extra Large","t2.xlarge","16.0 GiB","4 vCPUs                                                         for a                   5h 24m                   burst","EBS only","Moderate","$0.1856 hourly","$0.1150 hourly","$0.1241 hourly","$0.2266 hourly","$0.1560 hourly"
"Z1D Large","z1d.large","16.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1860 hourly","$0.1170 hourly","$0.0760 hourly","$0.2780 hourly","$0.2090 hourly"
"M7I-FLEX Extra Large","m7i-flex.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1915 hourly","$0.1267 hourly","$0.1278 hourly","$0.3663 hourly","$0.3015 hourly"
"C5 High-CPU Extra Large","c5d.xlarge","8.0 GiB","4 vCPUs","100 GB                 NVMe SSD","Up to 10 Gigabit","$0.1920 hourly","$0.1210 hourly","$0.1212 hourly","$0.3760 hourly","$0.3050 hourly"
"M6I Extra Large","m6i.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1920 hourly","$0.1270 hourly","$0.1171 hourly","$0.3760 hourly","$0.3110 hourly"
"M5 General Purpose Extra Large","m5.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1920 hourly","$0.1210 hourly","$0.0770 hourly","$0.3760 hourly","$0.3050 hourly"
"R6IDN Large","r6idn.large","16.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 25 Gigabit","$0.1954 hourly","$0.1231 hourly","$0.0651 hourly","$0.2874 hourly","$0.2151 hourly"
"C4 High-CPU Extra Large","c4.xlarge","7.5 GiB","4 vCPUs","EBS only","High","$0.1990 hourly","$0.1260 hourly","$0.1266 hourly","$0.3830 hourly","$0.3100 hourly"
"M4 General Purpose Extra Large","m4.xlarge","16.0 GiB","4 vCPUs","EBS only","High","$0.2000 hourly","$0.1239 hourly","$0.0833 hourly","$0.3840 hourly","$0.3079 hourly"
"M7I Extra Large","m7i.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.2016 hourly","$0.1334 hourly","$0.1290 hourly","$0.3856 hourly","$0.3174 hourly"
"C6ID Extra Large","c6id.xlarge","8.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.2016 hourly","$0.1270 hourly","$0.1292 hourly","$0.3856 hourly","$0.3110 hourly"
"R6G Extra Large","r6g.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.2016 hourly","$0.1270 hourly","$0.1323 hourly","unavailable","unavailable"
"A1 Double Extra Large","a1.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.2040 hourly","$0.1285 hourly","$0.2040 hourly","unavailable","unavailable"
"M5AD Extra Large","m5ad.xlarge","16.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.2060 hourly","$0.1300 hourly","$0.1299 hourly","$0.3900 hourly","$0.3140 hourly"
"C3 High-CPU Extra Large","c3.xlarge","7.5 GiB","4 vCPUs","80 GB                 (2 * 40 GB SSD)","Moderate","$0.2100 hourly","$0.1460 hourly","$0.1307 hourly","$0.3760 hourly","$0.3290 hourly"
"M7GD Extra Large","m7gd.xlarge","16.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.2136 hourly","$0.1345 hourly","$0.1298 hourly","unavailable","unavailable"
"R7G Extra Large","r7g.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.2142 hourly","$0.1417 hourly","$0.1398 hourly","unavailable","unavailable"
"C5N Extra Large","c5n.xlarge","10.5 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","$0.2160 hourly","$0.1360 hourly","$0.1286 hourly","$0.4000 hourly","$0.3200 hourly"
"I3EN Large","i3en.large","16.0 GiB","2 vCPUs","1250 GB                 NVMe SSD","Up to 25 Gigabit","$0.2260 hourly","$0.1540 hourly","$0.0678 hourly","$0.3180 hourly","$0.2460 hourly"
"M5 General Purpose Extra Large","m5d.xlarge","16.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.2260 hourly","$0.1420 hourly","$0.1268 hourly","$0.4100 hourly","$0.3260 hourly"
"R5A Extra Large","r5a.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.2260 hourly","$0.1420 hourly","$0.1299 hourly","$0.4100 hourly","$0.3260 hourly"
"C6IN Extra Large","c6in.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 30 Gigabit","$0.2268 hourly","$0.1429 hourly","$0.1299 hourly","$0.4108 hourly","$0.3269 hourly"
"R6A Extra Large","r6a.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.2268 hourly","$0.1500 hourly","$0.1294 hourly","$0.4108 hourly","$0.3340 hourly"
"INF1 Extra Large","inf1.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","$0.2280 hourly","$0.1440 hourly","$0.1528 hourly","unavailable","unavailable"
"R6GD Extra Large","r6gd.xlarge","32.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 10 Gigabit","$0.2304 hourly","$0.1452 hourly","$0.1380 hourly","unavailable","unavailable"
"M7A Extra Large","m7a.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.2318 hourly","$0.1534 hourly","$0.1286 hourly","$0.4158 hourly","$0.3374 hourly"
"M6ID Extra Large","m6id.xlarge","16.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.2373 hourly","$0.1495 hourly","$0.1285 hourly","$0.4213 hourly","$0.3335 hourly"
"M5N Extra Large","m5n.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","$0.2380 hourly","$0.1500 hourly","$0.1218 hourly","$0.4220 hourly","$0.3340 hourly"
"M2 High Memory Extra Large","m2.xlarge","17.1 GiB","2 vCPUs","420 GB                 HDD","Moderate","$0.2450 hourly","$0.1110 hourly","$0.0518 hourly","$0.3450 hourly","$0.2490 hourly"
"C7GN Extra Large","c7gn.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 40 Gigabit","$0.2496 hourly","$0.1572 hourly","$0.1408 hourly","unavailable","unavailable"
"R5 Extra Large","r5.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.2520 hourly","$0.1590 hourly","$0.0713 hourly","$0.4360 hourly","$0.3430 hourly"
"R6I Extra Large","r6i.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.2520 hourly","$0.1667 hourly","$0.1216 hourly","$0.4360 hourly","$0.3507 hourly"
"R5AD Extra Large","r5ad.xlarge","32.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.2620 hourly","$0.1650 hourly","$0.1292 hourly","$0.4460 hourly","$0.3490 hourly"
"M3 General Purpose Extra Large","m3.xlarge","15.0 GiB","4 vCPUs","80 GB                 (2 * 40 GB SSD)","High","$0.2660 hourly","$0.1900 hourly","$0.1282 hourly","$0.5180 hourly","$0.3970 hourly"
"R4 High-Memory Extra Large","r4.xlarge","30.5 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.2660 hourly","$0.1680 hourly","$0.1036 hourly","$0.4500 hourly","$0.3520 hourly"
"T4G Double Extra Large","t4g.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$0.2688 hourly","$0.1686 hourly","$0.2088 hourly","unavailable","unavailable"
"M5DN Extra Large","m5dn.xlarge","16.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 25 Gigabit","$0.2720 hourly","$0.1710 hourly","$0.1288 hourly","$0.4560 hourly","$0.3550 hourly"
"C6G Double Extra Large","c6g.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.2720 hourly","$0.1714 hourly","$0.2711 hourly","unavailable","unavailable"
"R7GD Extra Large","r7gd.xlarge","32.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.2722 hourly","$0.1710 hourly","$0.1292 hourly","unavailable","unavailable"
"M6IN Extra Large","m6in.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 30 Gigabit","$0.2785 hourly","$0.1754 hourly","$0.1306 hourly","$0.4625 hourly","$0.3594 hourly"
"R5D Extra Large","r5d.xlarge","32.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.2880 hourly","$0.1810 hourly","$0.1276 hourly","$0.4720 hourly","$0.3650 hourly"
"IS4GEN Large","is4gen.large","12.0 GiB","2 vCPUs","1875 GB                 NVMe SSD","Up to 25 Gigabit","$0.2882 hourly","$0.1965 hourly","$0.0864 hourly","unavailable","unavailable"
"C7G Double Extra Large","c7g.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 15 Gigabit","$0.2900 hourly","$0.1911 hourly","$0.2693 hourly","unavailable","unavailable"
"R5B Extra Large","r5b.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.2980 hourly","$0.1877 hourly","$0.1298 hourly","$0.4820 hourly","$0.3717 hourly"
"R5N Extra Large","r5n.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","$0.2980 hourly","$0.1880 hourly","$0.1265 hourly","$0.4820 hourly","$0.3720 hourly"
"T3A Double Extra Large","t3a.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$0.3008 hourly","$0.1886 hourly","$0.2572 hourly","$0.4480 hourly","$0.3358 hourly"
"R6ID Extra Large","r6id.xlarge","32.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.3024 hourly","$0.1900 hourly","$0.1297 hourly","$0.4864 hourly","$0.3740 hourly"
"C6A Double Extra Large","c6a.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.3060 hourly","$0.2024 hourly","$0.2432 hourly","$0.6740 hourly","$0.5704 hourly"
"C6GD Double Extra Large","c6gd.2xlarge","16.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 10 Gigabit","$0.3072 hourly","$0.1935 hourly","$0.1505 hourly","unavailable","unavailable"
"M6G Double Extra Large","m6g.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.3080 hourly","$0.1932 hourly","$0.2488 hourly","unavailable","unavailable"
"C5A Double Extra Large","c5a.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.3080 hourly","$0.1940 hourly","$0.2554 hourly","$0.6760 hourly","$0.5620 hourly"
"I4G Extra Large","i4g.xlarge","32.0 GiB","4 vCPUs","937 GB                 NVMe SSD","Up to 10 Gigabit","$0.3089 hourly","$0.2004 hourly","$0.1293 hourly","unavailable","unavailable"
"I3 High I/O Extra Large","i3.xlarge","30.5 GiB","4 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","$0.3120 hourly","$0.2140 hourly","$0.1257 hourly","$0.4960 hourly","$0.3980 hourly"
"M6IDN Extra Large","m6idn.xlarge","16.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 30 Gigabit","$0.3182 hourly","$0.2005 hourly","$0.1301 hourly","$0.5022 hourly","$0.3845 hourly"
"M7G Double Extra Large","m7g.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 15 Gigabit","$0.3264 hourly","$0.2159 hourly","$0.2795 hourly","unavailable","unavailable"
"M5ZN Extra Large","m5zn.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","$0.3303 hourly","$0.2081 hourly","$0.1288 hourly","$0.5143 hourly","$0.3921 hourly"
"T3 Double Extra Large","t3.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$0.3328 hourly","$0.2086 hourly","$0.2139 hourly","$0.4800 hourly","$0.3558 hourly"
"R3 High-Memory Extra Large","r3.xlarge","30.5 GiB","4 vCPUs","80 GB                 SSD","Moderate","$0.3330 hourly","$0.2090 hourly","$0.1235 hourly","$0.5830 hourly","$0.4280 hourly"
"R5DN Extra Large","r5dn.xlarge","32.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 25 Gigabit","$0.3340 hourly","$0.2100 hourly","$0.1298 hourly","$0.5180 hourly","$0.3940 hourly"
"X2GD Extra Large","x2gd.xlarge","64.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 10 Gigabit","$0.3340 hourly","$0.2058 hourly","$0.1520 hourly","unavailable","unavailable"
"C6I Double Extra Large","c6i.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.3400 hourly","$0.2249 hourly","$0.2216 hourly","$0.7080 hourly","$0.5929 hourly"
"C5 High-CPU Double Extra Large","c5.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.3400 hourly","$0.2140 hourly","$0.2159 hourly","$0.7080 hourly","$0.5820 hourly"
"I4I Extra Large","i4i.xlarge","32.0 GiB","4 vCPUs","937 GB                 NVMe SSD","Up to 10 Gigabit","$0.3430 hourly","$0.2230 hourly","$0.1261 hourly","$0.5270 hourly","$0.4070 hourly"
"M5A Double Extra Large","m5a.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.3440 hourly","$0.2170 hourly","$0.2560 hourly","$0.7120 hourly","$0.5850 hourly"
"C5AD Double Extra Large","c5ad.2xlarge","16.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.3440 hourly","$0.2170 hourly","$0.2556 hourly","$0.7120 hourly","$0.5850 hourly"
