"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"DL1 24xlarge","dl1.24xlarge","768.0 GiB","96 vCPUs","4000 GB                 (4 * 1000 GB NVMe SSD)","4x 100 Gigabit","$13.1090 hourly","$8.2587 hourly","$3.9327 hourly","unavailable","unavailable"
"F1 16xlarge","f1.16xlarge","976.0 GiB","64 vCPUs","3760 GB                 (4 * 940 GB NVMe SSD)","25 Gigabit","$13.2000 hourly","$8.9250 hourly","$3.9600 hourly","unavailable","unavailable"
"X2IDN 32xlarge","x2idn.32xlarge","2048.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$13.3380 hourly","$8.2069 hourly","$4.8218 hourly","$19.2260 hourly","$14.0949 hourly"
"X1 Extra High-Memory 32xlarge","x1.32xlarge","1952.0 GiB","128 vCPUs","3840 GB                 (2 * 1920 GB SSD)","25 Gigabit","$13.3380 hourly","$8.2190 hourly","$4.0014 hourly","$19.2260 hourly","$14.1070 hourly"
"X2IEDN 16xlarge","x2iedn.16xlarge","2048.0 GiB","64 vCPUs","1900 GB                 NVMe SSD","50 Gigabit","$13.3380 hourly","$8.2069 hourly","$4.0014 hourly","$16.2820 hourly","$11.1509 hourly"
"X2IDN Metal","x2idn.metal","2048.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$13.3380 hourly","$8.2069 hourly","$4.5548 hourly","$19.2260 hourly","$14.0949 hourly"
"X1E 16xlarge","x1e.16xlarge","1952.0 GiB","64 vCPUs","1920 GB                 SSD","10 Gigabit","$13.3440 hourly","$8.2230 hourly","$4.0032 hourly","$16.2880 hourly","$11.1670 hourly"
"P2 General Purpose GPU 16xlarge","p2.16xlarge","732.0 GiB","64 vCPUs","EBS only","25 Gigabit","$14.4000 hourly","$9.8280 hourly","$4.3200 hourly","$17.3440 hourly","$12.7720 hourly"
"G5 Graphics and Machine Learning GPU 48xlarge","g5.48xlarge","768.0 GiB","192 vCPUs","7600 GB                 (2 * 3800 GB NVMe SSD)","100 Gigabit","$16.2880 hourly","$10.2614 hourly","$7.2912 hourly","$25.1200 hourly","$19.0934 hourly"
"X2IEDN 24xlarge","x2iedn.24xlarge","3072.0 GiB","96 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","$20.0070 hourly","$12.3103 hourly","$6.0021 hourly","$24.4230 hourly","$16.7263 hourly"
"TRN1 32xlarge","trn1.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","8x 100 Gigabit","$21.5000 hourly","$13.2289 hourly","$6.4500 hourly","unavailable","unavailable"
"P3 High Performance GPU 16xlarge","p3.16xlarge","488.0 GiB","64 vCPUs","EBS only","25 Gigabit","$24.4800 hourly","$16.7080 hourly","$7.3440 hourly","$27.4240 hourly","$19.6520 hourly"
"TRN1N 32xlarge","trn1n.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","16x 100 Gigabit","$24.7800 hourly","$15.2471 hourly","$7.4340 hourly","unavailable","unavailable"
"X2IEDN 32xlarge","x2iedn.32xlarge","4096.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$26.6760 hourly","$16.4137 hourly","$8.0028 hourly","$32.5640 hourly","$22.3017 hourly"
"X2IEDN Metal","x2iedn.metal","4096.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$26.6760 hourly","$16.4137 hourly","$8.0028 hourly","$32.5640 hourly","$22.3017 hourly"
"X1E 32xlarge","x1e.32xlarge","3904.0 GiB","128 vCPUs","3840 GB                 (2 * 1920 GB SSD)","25 Gigabit","$26.6880 hourly","$16.4460 hourly","$8.0064 hourly","$32.5760 hourly","$22.3340 hourly"
"U-3TB1 56xlarge","u-3tb1.56xlarge","3072.0 GiB","224 vCPUs","EBS only","50 Gigabit","$27.3000 hourly","$16.8235 hourly","unavailable","$37.6040 hourly","$27.1275 hourly"
"P3DN 24xlarge","p3dn.24xlarge","768.0 GiB","96 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","100 Gigabit","$31.2120 hourly","$19.2150 hourly","$9.3636 hourly","$35.6280 hourly","$23.6310 hourly"
"P4D Highest Performance GPU 24xlarge","p4d.24xlarge","1152.0 GiB","96 vCPUs","8000 GB                 (8 * 1000 GB NVMe SSD)","4x 100 Gigabit","$32.7726 hourly","$20.1755 hourly","$9.8318 hourly","unavailable","unavailable"
"P4DE 24xlarge","p4de.24xlarge","1152.0 GiB","96 vCPUs","8000 GB                 (8 * 1000 GB NVMe SSD)","400 Gigabit","$40.9657 hourly","$25.2194 hourly","unavailable","unavailable","unavailable"
"U-6TB1 56xlarge","u-6tb1.56xlarge","6144.0 GiB","224 vCPUs","EBS only","100 Gigabit","$46.4039 hourly","$28.5962 hourly","unavailable","$56.7079 hourly","$38.9002 hourly"
"U-6TB1 112xlarge","u-6tb1.112xlarge","6144.0 GiB","448 vCPUs","EBS only","100 Gigabit","$54.6000 hourly","$33.6470 hourly","unavailable","$75.2080 hourly","$54.2550 hourly"
"U-9TB1 112xlarge","u-9tb1.112xlarge","9216.0 GiB","448 vCPUs","EBS only","100 Gigabit","$81.9000 hourly","$50.4791 hourly","unavailable","$102.5080 hourly","$71.0871 hourly"
"P5 48xlarge","p5.48xlarge","2048.0 GiB","192 vCPUs","30400 GB                 (8 * 3800 GB NVMe SSD)","3200 Gigabit","$98.3200 hourly","unavailable","$68.8240 hourly","unavailable","unavailable"
"U-12TB1 112xlarge","u-12tb1.112xlarge","12288.0 GiB","448 vCPUs","EBS only","100 Gigabit","$109.2000 hourly","$67.3054 hourly","unavailable","$129.8080 hourly","$87.9134 hourly"
"U-18TB1 112xlarge","u-18tb1.112xlarge","18432.0 GiB","448 vCPUs","EBS only","100 Gigabit","$163.8000 hourly","$100.9409 hourly","unavailable","$184.4080 hourly","$121.5489 hourly"
"U-24TB1 112xlarge","u-24tb1.112xlarge","24576.0 GiB","448 vCPUs","EBS only","100 Gigabit","$218.4000 hourly","$134.5879 hourly","unavailable","$239.0080 hourly","$155.1959 hourly"
"High Storage Eight Extra Large","hs1.8xlarge","117.0 GiB","16 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"Cluster Compute Eight Extra Large","cc2.8xlarge","60.5 GiB","32 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-6TB1 Metal","u-6tb1.metal","6144.0 GiB","448 vCPUs","EBS only","NA","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC2 Metal","mac2.metal","16.0 GiB","12 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-9TB1 Metal","u-9tb1.metal","9216.0 GiB","448 vCPUs","EBS only","NA","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-12TB1 Metal","u-12tb1.metal","12288.0 GiB","448 vCPUs","EBS only","NA","unavailable","unavailable","unavailable","unavailable","unavailable"
"I2 Large","i2.large","15.0 GiB","2 vCPUs","EBS only","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC1 Metal","mac1.metal","32.0 GiB","12 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
